discussion_id,topic_id,status
concert_Meeting_7_Discussion,concert,
affordable_housing_Meeting_9_Invite_Developers_Discussion,affordable_housing,
low_volume_crane_Meeting_3_Proposal_Discussion,low_volume_crane,
affordable_housing_Meeting_10_Travel_Findings_Discussion,affordable_housing,
waterfront_market_Meeting_9_Report_Discussion,waterfront_market,
low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane,low_volume_crane,
affordable_housing_Meeting_6_Sites_Proposal_Discussion,affordable_housing,
fish_vacuum_Meeting_3_Report_Discussion,fish_vacuum,
affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion,affordable_housing,
fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion,fish_vacuum,
expanding_tourist_wharf_Meeting_9_Start_Report_Discussion,expanding_tourist_wharf,
name_harbor_area_Meeting_10_Historical_Significance_Discussion,name_harbor_area,
expanding_tourist_wharf_Meeting_10_Report_Update_Discussion,expanding_tourist_wharf,
statue_john_smoth_Travel_The_Bait_Stich_Discussion,statue_john_smoth,
affordable_housing_Travel_Tidewater_Flats_Discussion,affordable_housing,
renaming_park_himark_Meeting_4_Name_Ideas_Discussion,renaming_park_himark,
new_crane_lomark_Meeting_8_Share_Findings_Discussion,new_crane_lomark,
affordable_housing_Travel_Tidewater_Flats_Completed_Discussion,affordable_housing,
affordable_housing_Meeting_8_Gather_Feedback_Discussion,affordable_housing,
name_inspection_office_Meeting_8_Importance_Discussion,name_inspection_office,
name_inspection_office_Meeting_9_Community_Vote_Discussion,name_inspection_office,
new_crane_lomark_Meeting_4_Cost_Analysis_Discussion,new_crane_lomark,
heritage_walking_tour_Meeting_7_Discussion,heritage_walking_tour,
expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion,expanding_tourist_wharf,
expanding_tourist_wharf_Meeting_11_Report_Update_Discussion,expanding_tourist_wharf,
waterfront_market_Meeting_9_Report,waterfront_market,
marine_life_deck_Meeting_12_Environmental_Impact_Report_Discussion,marine_life_deck,
low_volume_crane_Meeting_8_Report_Discussion,low_volume_crane,
deep_fishing_dock_Meeting_4_Recommendation_Discussion,deep_fishing_dock,
deep_fishing_dock_Meeting_4_Findings_Report_Discussion,deep_fishing_dock,
concert_Meeting_16_Road_Closures_Discussion,concert,
name_harbor_area_Meeting_12_Public_Opinion_Discussion,name_harbor_area,
affordable_housing_Meeting_7_Debate_Discussion,affordable_housing,
fish_vacuum_Meeting_1_Introduction_Discussion,fish_vacuum,
expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion,expanding_tourist_wharf,
low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,low_volume_crane,
deep_fishing_dock_Meeting_2_Importance_Discussion,deep_fishing_dock,
new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,new_crane_lomark,
deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,deep_fishing_dock,
statue_john_smoth_Meeting_8_Proposal_Discussion,statue_john_smoth,
expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,expanding_tourist_wharf,
expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,expanding_tourist_wharf,
deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,deep_fishing_dock,
deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,deep_fishing_dock,
new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,new_crane_lomark,
new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,new_crane_lomark,
fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,fish_vacuum,
fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,fish_vacuum,
low_volume_crane_Travel_Harbor_Builders_Discussion,low_volume_crane,
low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,low_volume_crane,
low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,low_volume_crane,
low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,low_volume_crane,
affordable_housing_Travel_Waveside_Townhomes_Discussion,affordable_housing,
renaming_park_himark_Travel_Himark_City_Hall_Discussion,renaming_park_himark,
renaming_park_himark_Meeting_5_Nominations_Discussion,renaming_park_himark,
renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,renaming_park_himark,
name_inspection_office_Meeting_8_Proposal_Discussion,name_inspection_office,
name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,name_inspection_office,
marine_life_deck_Meeting_10_Initial_Ideas_Discussion,marine_life_deck,
marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,marine_life_deck,
marine_life_deck_Meeting_11_Feedback_Discussion,marine_life_deck,
marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,marine_life_deck,
marine_life_deck_Meeting_12_Detailed_Proposal_Discussion,marine_life_deck,
seafood_festival_Meeting_1_Discussion,seafood_festival,
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,seafood_festival,
seafood_festival_Meeting_2_Feedback_Discussion,seafood_festival,
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,seafood_festival,
seafood_festival_Meeting_3_Take_Action_Discussion,seafood_festival,
heritage_walking_tour_Travel_Captain_Market_Discussion,heritage_walking_tour,
heritage_walking_tour_Meeting_8_Proposal_Discussion,heritage_walking_tour,
heritage_walking_tour_Travel_Captain_Market_Completed_Discussion,heritage_walking_tour,
heritage_walking_tour_Meeting_9_Report_Discussion,heritage_walking_tour,
heritage_walking_tour_Meeting_9_Take_Action_Discussion,heritage_walking_tour,
waterfront_market_Meeting_7_Discussion,waterfront_market,
waterfront_market_Travel_Harbor_Edge_Grill_Discussion,waterfront_market,
waterfront_market_Travel_Harbor_Edge_Grill_Completed_Discussion,waterfront_market,
